product_id,product_name,category,sub_category
off-pa-10000176,xerox 1887,office supplies,paper
off-pa-10001215,xerox 1963,office supplies,paper
off-st-10000736,carina double wide media storage towers in natural & black,office supplies,storage
off-st-10003221,staple magnet,office supplies,storage
tec-ac-10004877,imation 30456 usb flash drive 8gb,technology,accessories
tec-ma-10003626,hewlett-packard deskjet 6540 color inkjet printer,technology,machines
fur-fu-10001756,"eldon expressions desk accessory, wood photo frame, mahogany",furniture,furnishings
off-bi-10000773,insertable tab post binder dividers,office supplies,binders
off-bi-10001543,gbc velobinder manual binding system,office supplies,binders
off-pa-10002120,xerox 1889,office supplies,paper
off-st-10001490,"hot file 7-pocket, floor stand",office supplies,storage
tec-ph-10002415,polycom voicestation 500 conference phone,technology,phones
fur-ta-10001950,balt solid wood round tables,furniture,tables
fur-ta-10003473,bretford rectangular conference table tops,furniture,tables
fur-ta-10004175,"hon 30"" x 60"" table with locking drawer",furniture,tables
off-ap-10001154,bionaire personal warm mist humidifier/vaporizer,office supplies,appliances
off-ap-10003971,belkin 6 outlet metallic surge strip,office supplies,appliances
off-ar-10003732,newell 333,office supplies,art
off-ar-10003829,newell 35,office supplies,art
off-bi-10000136,avery non-stick heavy duty view round locking ring binders,office supplies,binders
off-bi-10000309,"gbc twin loop wire binding elements, 9/16"" spine, black",office supplies,binders
off-pa-10000919,xerox 1918,office supplies,paper
off-pa-10002365,xerox 1967,office supplies,paper
off-pa-10002960,xerox 1926,office supplies,paper
off-pa-10003063,ecotones memo sheets,office supplies,paper
off-pa-10003349,xerox 1957,office supplies,paper
off-pa-10003641,xerox 1909,office supplies,paper
fur-bo-10004218,"bush heritage pine collection 5-shelf bookcase, albany pine finish, *special order",furniture,bookcases
fur-fu-10001986,"dana fluorescent magnifying lamp, white, 36""",furniture,furnishings
fur-fu-10004597,eldon cleatmat chair mats for medium pile carpets,furniture,furnishings
off-ar-10003183,avery fluorescent highlighter four-color set,office supplies,art
off-fa-10003112,staples,office supplies,fasteners
tec-ma-10002412,cisco telepresence system ex90 videoconferencing unit,technology,machines
fur-fu-10002508,document clip frames,furniture,furnishings
off-la-10000443,avery 501,office supplies,labels
off-st-10000918,crate-a-files,office supplies,storage
tec-ac-10002647,"logitech wireless boombox speaker - portable - wireless, wired",technology,accessories
tec-ph-10004667,cisco 8x8 inc. 6753i ip business phone system,technology,phones
off-ar-10001573,american pencil,office supplies,art
off-ar-10004027,"binney & smith inktank erasable desk highlighter, chisel tip, yellow, 12/box",office supplies,art
off-ar-10004685,"binney & smith crayola metallic colored pencils, 8-color set",office supplies,art
off-bi-10001597,"wilson jones ledger-size, piano-hinge binder, 2"", blue",office supplies,binders
off-la-10004409,avery 492,office supplies,labels
off-la-10004544,avery 505,office supplies,labels
off-pa-10000675,xerox 1919,office supplies,paper
off-st-10002301,tennsco commercial shelving,office supplies,storage
tec-ph-10000730,samsung galaxy s4 active,technology,phones
fur-ch-10001482,office star - mesh screen back chair with vinyl seat,furniture,chairs
off-bi-10002735,gbc prestige therm-a-bind covers,office supplies,binders
off-bi-10004410,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",office supplies,binders
off-pa-10002581,xerox 1951,office supplies,paper
off-la-10004484,avery 476,office supplies,labels
off-st-10000585,economy rollaway files,office supplies,storage
tec-ph-10003484,ooma telo voip home phone system,technology,phones
fur-fu-10002813,"dax contemporary wood frame with silver metal mat, desktop, 11 x 14 size",furniture,furnishings
off-pa-10004948,xerox 190,office supplies,paper
fur-ch-10002439,"iceberg nesting folding chair, 19w x 6d x 43h",furniture,chairs
off-ar-10000034,"bic brite liner grip highlighters, assorted, 5/pack",office supplies,art
off-ar-10003338,"eberhard faber 3 1/2"" golf pencils",office supplies,art
tec-ac-10002558,imation swivel flash drive usb flash drive - 8 gb,technology,accessories
off-ar-10004272,newell 308,office supplies,art
off-la-10001982,smead alpha-z color-coded name labels first letter starter set,office supplies,labels
tec-ac-10002323,sandisk ultra 32 gb microsdhc class 10 memory card,technology,accessories
tec-ph-10004100,griffin gc17055 auxiliary audio cable,technology,phones
fur-ta-10000198,chromcraft bull-nose wood oval conference tables & bases,furniture,tables
fur-ta-10003954,hon 94000 series round tables,furniture,tables
off-en-10001509,poly string tie envelopes,office supplies,envelopes
tec-ph-10003273,at&t tr1909w,technology,phones
fur-ta-10001889,bush advantage collection racetrack conference table,furniture,tables
fur-bo-10001337,o'sullivan living dimensions 2-shelf bookcases,furniture,bookcases
fur-ch-10002304,"global stack chair without arms, black",furniture,chairs
off-ar-10001231,"sanford earthwrite recycled pencils, medium soft, #2",office supplies,art
off-ar-10001915,peel-off china markers,office supplies,art
off-en-10002230,airmail envelopes,office supplies,envelopes
off-la-10002312,avery 490,office supplies,labels
off-st-10001511,space solutions commercial steel shelving,office supplies,storage
off-st-10002957,sterilite show offs storage containers,office supplies,storage
tec-ph-10001819,innergie mmini combo duo usb travel charging kit,technology,phones
fur-ch-10002965,"global leather highback executive chair with pneumatic height adjustment, black",furniture,chairs
off-ap-10002765,fellowes advanced computer series surge protectors,office supplies,appliances
off-bi-10001097,avery hole reinforcements,office supplies,binders
off-bi-10001636,ibico plastic and wire spiral binding combs,office supplies,binders
off-bi-10002071,fellowes black plastic comb bindings,office supplies,binders
off-bi-10003529,avery round ring poly binders,office supplies,binders
off-bi-10004390,gbc docubind 200 manual binding machine,office supplies,binders
tec-ac-10004901,kensington slimblade notebook wireless mouse with nano receiver,technology,accessories
off-bi-10000042,"pressboard data binder, crimson, 12"" x 8 1/2""",office supplies,binders
off-bi-10000145,zipper ring binder pockets,office supplies,binders
off-st-10000636,rogers profile extra capacity storage tub,office supplies,storage
fur-fu-10003192,luxo adjustable task clamp lamp,furniture,furnishings
off-ap-10003842,euro-pro shark turbo vacuum,office supplies,appliances
off-pa-10001593,xerox 1947,office supplies,paper
off-pa-10002986,xerox 1898,office supplies,paper
off-pa-10004248,xerox 1990,office supplies,paper
tec-ph-10001128,motorola droid maxx,technology,phones
off-en-10001415,staple envelope,office supplies,envelopes
fur-fu-10004020,advantus panel wall acrylic frame,furniture,furnishings
off-ar-10001955,newell 319,office supplies,art
off-bi-10004140,avery non-stick binders,office supplies,binders
off-la-10001641,avery 518,office supplies,labels
off-pa-10003797,xerox 209,office supplies,paper
off-st-10004180,safco commercial shelving,office supplies,storage
tec-ac-10002926,logitech wireless marathon mouse m705,technology,accessories
off-ar-10000127,newell 321,office supplies,art
off-ar-10002952,stanley contemporary battery pencil sharpeners,office supplies,art
off-ar-10004757,crayola colored pencils,office supplies,art
off-bi-10002852,ibico standard transparent covers,office supplies,binders
off-bi-10004209,"fellowes twister kit, gray/clear, 3/pkg",office supplies,binders
off-pa-10004071,"eaton premium continuous-feed paper, 25% cotton, letter size, white, 1000 shts/box",office supplies,paper
off-st-10001031,adjustable personal file tote,office supplies,storage
off-st-10003455,"tenex file box, personal filing tote with lid, black",office supplies,storage
off-su-10002881,martin yale chadless opener electric letter opener,office supplies,supplies
fur-fu-10000747,tenex b1-re series chair mats for low pile carpets,furniture,furnishings
fur-fu-10001918,c-line cubicle keepers polyproplyene holder with velcro backings,furniture,furnishings
fur-ta-10000688,"chromcraft bull-nose wood round conference table top, wood base",furniture,tables
fur-ta-10001039,ki adjustable-height table,furniture,tables
off-ar-10001725,boston home & office model 2000 electric pencil sharpeners,office supplies,art
off-bi-10002794,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",office supplies,binders
off-bi-10003719,large capacity hanging post binders,office supplies,binders
off-pa-10001977,xerox 194,office supplies,paper
off-pa-10003309,xerox 211,office supplies,paper
off-su-10004498,martin-yale premier letter opener,office supplies,supplies
tec-ac-10003441,kingston digital datatraveler 32gb usb 2.0,technology,accessories
tec-ac-10004171,razer kraken 7.1 surround sound over ear usb gaming headset,technology,accessories
tec-ac-10004659,imation secure+ hardware encrypted usb 2.0 flash drive; 16gb,technology,accessories
fur-fu-10004415,"stacking tray, side-loading, legal, smoke",furniture,furnishings
off-pa-10000100,xerox 1945,office supplies,paper
off-pa-10003441,xerox 226,office supplies,paper
tec-ph-10004922,rca visys integrated pbx 8-line router,technology,phones
fur-ta-10001086,"safco planmaster boards, 60w x 37-1/2d, white melamine",furniture,tables
fur-ta-10003748,bevis 36 x 72 conference tables,furniture,tables
fur-ta-10004442,riverside furniture stanwyck manor table series,furniture,tables
off-fa-10000611,binder clips by oic,office supplies,fasteners
off-pa-10004733,things to do today spiral book,office supplies,paper
tec-ac-10001908,logitech wireless headset h800,technology,accessories
off-bi-10004817,gbc personal velobind strips,office supplies,binders
off-fa-10001332,"acco banker's clasps, 5 3/4""-long",office supplies,fasteners
off-pa-10000029,xerox 224,office supplies,paper
off-st-10000876,eldon simplefile box office,office supplies,storage
tec-ac-10001874,logitech wireless anywhere mouse mx for pc and mac,technology,accessories
tec-ac-10003399,memorex mini travel drive 64 gb usb 2.0 flash drive,technology,accessories
tec-ph-10000586,at&t sb67148 synj,technology,phones
tec-ph-10001835,jawbone jambox wireless bluetooth speaker,technology,phones
off-ar-10002987,prismacolor color pencil set,office supplies,art
off-bi-10002764,recycled pressboard report cover with reinforced top hinge,office supplies,binders
off-pa-10000289,xerox 213,office supplies,paper
tec-ph-10000576,at&t 1080 corded phone,technology,phones
tec-ph-10001557,pyle pmp37led,technology,phones
off-ar-10000122,newell 314,office supplies,art
off-bi-10003656,fellowes pb200 plastic comb binding machine,office supplies,binders
off-fa-10002780,staples,office supplies,fasteners
off-la-10002368,avery 479,office supplies,labels
tec-ph-10000702,"square credit card reader, 4 1/2"" x 4 1/2"" x 1"", white",technology,phones
off-ap-10000240,belkin f9g930v10-gry 9 outlet surge,office supplies,appliances
fur-ch-10002602,dmi arturo collection mission-style design wood chair,furniture,chairs
off-ar-10000657,"binney & smith inktank desk highlighter, chisel tip, yellow, 12/box",office supplies,art
off-ar-10001868,prang dustless chalk sticks,office supplies,art
off-en-10000056,cameo buff policy envelopes,office supplies,envelopes
off-fa-10000134,"advantus push pins, aluminum head",office supplies,fasteners
tec-ac-10000474,kensington expert mouse optical usb trackball for pc or mac,technology,accessories
tec-ma-10002859,ativa mdm8000 8-sheet micro-cut shredder,technology,machines
off-bi-10003638,gbc durable plastic covers,office supplies,binders
off-pa-10001569,xerox 232,office supplies,paper
fur-fu-10000409,"ge 4 foot flourescent tube, 40 watt",furniture,furnishings
fur-ta-10001705,bush advantage collection round conference table,furniture,tables
off-st-10004634,"personal folder holder, ebony",office supplies,storage
off-bi-10002976,accohide binder by acco,office supplies,binders
off-st-10002574,"safco commercial wire shelving, black",office supplies,storage
off-bi-10004970,"accohide 3-ring binder, blue, 1""",office supplies,binders
off-en-10004773,staple envelope,office supplies,envelopes
fur-fu-10002191,g.e. halogen desk lamp bulbs,furniture,furnishings
off-bi-10004876,wilson jones suede grain vinyl binders,office supplies,binders
fur-ch-10003973,gueststacker chair with chrome finish legs,furniture,chairs
fur-fu-10003708,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",furniture,furnishings
off-ap-10001391,kensington 6 outlet masterpiece homeoffice power control center,office supplies,appliances
off-ar-10002221,12 colored short pencils,office supplies,art
off-pa-10003543,xerox 1985,office supplies,paper
fur-ch-10004886,bevis steel folding chairs,furniture,chairs
off-ar-10003504,newell 347,office supplies,art
off-bi-10001525,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",office supplies,binders
off-ar-10004752,blackstonian pencils,office supplies,art
off-bi-10001628,"acco data flex cable posts for top & bottom load binders, 6"" capacity",office supplies,binders
off-la-10000452,avery 488,office supplies,labels
off-la-10001613,avery file folder labels,office supplies,labels
off-st-10000877,recycled steel personal file for standard file folders,office supplies,storage
off-st-10001128,"carina mini system audio rack, model ar050b",office supplies,storage
off-st-10002214,x-rack file for hanging folders,office supplies,storage
tec-ph-10001459,samsung galaxy mega 6.3,technology,phones
fur-ch-10001394,global leather executive chair,furniture,chairs
fur-fu-10001424,dax clear box frame,furniture,furnishings
off-st-10000798,2300 heavy-duty transfer file systems by perma,office supplies,storage
tec-ph-10000376,square credit card reader,technology,phones
off-ar-10004010,hunt boston vacuum mount ks pencil sharpener,office supplies,art
tec-co-10004202,brother dcp1000 digital 3 in 1 multifunction machine,technology,copiers
off-bi-10003981,"avery durable plastic 1"" binders",office supplies,binders
off-bi-10004828,gbc poly designer binding covers,office supplies,binders
off-la-10002195,avery 481,office supplies,labels
fur-fu-10001852,"eldon regeneration recycled desk accessories, smoke",furniture,furnishings
off-ap-10000696,holmes odor grabber,office supplies,appliances
off-bi-10001294,fellowes binding cases,office supplies,binders
off-fa-10000840,oic thumb-tacks,office supplies,fasteners
off-ar-10003651,newell 350,office supplies,art
off-pa-10000474,easy-staple paper,office supplies,paper
off-pa-10001363,xerox 1933,office supplies,paper
off-pa-10003016,"adams ""while you were out"" message pads",office supplies,paper
off-st-10003442,eldon portable mobile manager,office supplies,storage
off-ar-10001897,model l table or wall-mount pencil sharpener,office supplies,art
off-bi-10003684,wilson jones legal size ring binders,office supplies,binders
fur-ch-10004675,"lifetime advantage folding chairs, 4/carton",furniture,chairs
off-ar-10002578,newell 335,office supplies,art
off-bi-10001078,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",office supplies,binders
tec-co-10001449,hewlett packard laserjet 3310 copier,technology,copiers
off-la-10003121,avery 506,office supplies,labels
off-st-10000107,fellowes super stor/drawer,office supplies,storage
tec-ac-10000109,sony micro vault click 16 gb usb 2.0 flash drive,technology,accessories
fur-bo-10004467,bestar classic bookcase,furniture,bookcases
fur-ch-10002320,hon pagoda stacking chairs,furniture,chairs
off-ar-10000716,dixon ticonderoga erasable checking pencils,office supplies,art
off-en-10001434,"strathmore #10 envelopes, ultimate white",office supplies,envelopes
off-pa-10004353,southworth 25% cotton premium laser paper and envelopes,office supplies,paper
off-su-10004737,acme design stainless steel bent scissors,office supplies,supplies
tec-ph-10001817,wilson electronics db pro signal booster,technology,phones
tec-ph-10003988,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",technology,phones
fur-ch-10000015,hon multipurpose stacking arm chairs,furniture,chairs
fur-fu-10000723,"deflect-o economat studded, no bevel mat for low pile carpeting",furniture,furnishings
off-ap-10004249,staple holder,office supplies,appliances
tec-ac-10001013,logitech clearchat comfort/usb headset h390,technology,accessories
tec-ac-10001465,sandisk cruzer 64 gb usb flash drive,technology,accessories
tec-ph-10002597,xblue xb-1670-86 x16 small office telephone - titanium,technology,phones
fur-ta-10002228,"bevis traditional conference table top, plinth base",furniture,tables
off-bi-10004519,gbc docubind p100 manual binding machine,office supplies,binders
off-fa-10002815,staples,office supplies,fasteners
tec-ac-10002800,plantronics audio 478 stereo usb headset,technology,accessories
fur-fu-10004306,electrix halogen magnifier lamp,furniture,furnishings
tec-ac-10002217,imation clip usb flash drive - 8 gb,technology,accessories
fur-fu-10000308,deflect-o glass clear studded chair mats,furniture,furnishings
off-pa-10001526,xerox 1949,office supplies,paper
tec-ph-10002885,apple iphone 5,technology,phones
off-bi-10001249,avery heavy-duty ezd view binder with locking rings,office supplies,binders
fur-fu-10000076,24-hour round wall clock,furniture,furnishings
fur-fu-10003489,contemporary borderless frame,furniture,furnishings
off-ap-10000124,acco 6 outlet guardian basic surge suppressor,office supplies,appliances
off-ar-10004511,"sanford colorific scented colored pencils, 12/pack",office supplies,art
tec-ac-10004227,sandisk ultra 16 gb microsdhc class 10 memory card,technology,accessories
tec-ma-10003176,okidata b400 printer,technology,machines
fur-ch-10003396,global deluxe steno chair,furniture,chairs
off-bi-10000977,ibico plastic spiral binding combs,office supplies,binders
off-bi-10001071,gbc proclick punch binding system,office supplies,binders
off-bi-10003925,fellowes pb300 plastic comb binding machine,office supplies,binders
off-en-10003134,staple envelope,office supplies,envelopes
off-pa-10001560,"adams telephone message books, 5 1/4” x 11”",office supplies,paper
tec-ph-10002660,nortel networks t7316 e nt8 b27,technology,phones
tec-ph-10003171,plantronics encore h101 dual earpieces headset,technology,phones
off-ap-10002118,"1.7 cubic foot compact ""cube"" office refrigerators",office supplies,appliances
off-ar-10001246,newell 317,office supplies,art
off-bi-10000829,avery non-stick binders,office supplies,binders
off-bi-10000848,angle-d ring binders,office supplies,binders
off-pa-10003177,xerox 1999,office supplies,paper
off-su-10003002,letter slitter,office supplies,supplies
tec-ph-10003092,motorola l804,technology,phones
off-pa-10002319,xerox 1944,office supplies,paper
fur-fu-10002553,"electrix incandescent magnifying lamp, black",furniture,furnishings
off-ap-10001394,harmony air purifier,office supplies,appliances
off-pa-10001471,strathmore photo frame cards,office supplies,paper
fur-bo-10000362,sauder inglewood library bookcases,furniture,bookcases
fur-ch-10000988,hon olson stacker stools,furniture,chairs
fur-ch-10003981,global commerce series low-back swivel/tilt chairs,furniture,chairs
off-st-10001837,"safco mobile desk side file, wire frame",office supplies,storage
tec-ph-10000441,vtech ds6151,technology,phones
tec-ph-10002726,nettalk duo voip telephone service,technology,phones
